Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,251.1300048828125,251.3800048828125,246.9199981689453,247.52000427246094,245.74990844726562,1111800
2021-06-08,246.0,246.1300048828125,243.00999450683594,244.8000030517578,243.0493621826172,1734200
2021-06-09,245.0,246.3800048828125,243.5399932861328,245.75,243.99256896972656,1256600
2021-06-10,246.57000732421875,251.1699981689453,246.0800018310547,249.44000244140625,247.65618896484375,1462000
2021-06-11,249.77000427246094,251.9600067138672,248.72000122070312,250.11000061035156,248.32139587402344,1184900
2021-06-14,250.4499969482422,250.52999877929688,247.8300018310547,250.05999755859375,248.271728515625,1211800
2021-06-15,249.5500030517578,252.82000732421875,249.25999450683594,251.82000732421875,250.01914978027344,1359300
2021-06-16,251.92999267578125,252.24000549316406,242.52000427246094,244.10000610351562,242.3543701171875,4874500
2021-06-17,243.17999267578125,244.25,232.61000061035156,232.83999633789062,231.17486572265625,7322900
2021-06-18,231.64999389648438,234.0,229.2100067138672,230.10000610351562,228.45449829101562,3736000
2021-06-21,231.5399932861328,234.47999572753906,230.4600067138672,234.0,232.32659912109375,2467400
2021-06-22,232.9600067138672,235.69000244140625,232.22000122070312,233.55999755859375,231.8897247314453,1623700
2021-06-23,233.77000427246094,236.33999633789062,233.1199951171875,235.5399932861328,233.85556030273438,1316300
2021-06-24,235.5,238.94000244140625,235.2899932861328,238.47999572753906,236.77455139160156,1942900
2021-06-25,239.11000061035156,244.58999633789062,238.47999572753906,243.7100067138672,241.96714782714844,3825100
2021-06-28,244.11000061035156,244.27999877929688,239.9499969482422,240.92999267578125,239.20700073242188,1074600
2021-06-29,241.72000122070312,243.5800018310547,241.1300048828125,242.89999389648438,241.16293334960938,1023800
2021-06-30,242.47000122070312,242.8300018310547,237.8699951171875,238.75999450683594,237.05255126953125,1564400
2021-07-01,240.22000122070312,240.22000122070312,238.00999450683594,238.67999267578125,236.97312927246094,1235800
2021-07-02,239.02999877929688,241.38999938964844,238.7100067138672,239.58999633789062,237.87660217285156,926700
2021-07-06,239.0800018310547,239.5500030517578,236.4600067138672,237.72000122070312,236.0199737548828,1390300
2021-07-07,237.02000427246094,239.7100067138672,237.02000427246094,239.0500030517578,237.34046936035156,956200
2021-07-08,237.02000427246094,238.22000122070312,234.33999633789062,235.2100067138672,233.5279541015625,1066200
2021-07-09,237.22000122070312,238.0,235.02999877929688,236.30999755859375,234.62008666992188,1371300
2021-07-12,235.74000549316406,236.5800018310547,231.5500030517578,232.7899932861328,231.125244140625,1317600
2021-07-13,232.94000244140625,233.47000122070312,231.02999877929688,231.63999938964844,229.9834747314453,1361000
2021-07-14,231.9600067138672,232.6699981689453,228.17999267578125,230.42999267578125,228.7821044921875,1332900
2021-07-15,229.02999877929688,232.72999572753906,229.02999877929688,231.25999450683594,229.60617065429688,1551300
2021-07-16,231.77999877929688,232.8300018310547,230.17999267578125,231.72999572753906,230.07281494140625,2054300
2021-07-19,230.77999877929688,230.77999877929688,223.19000244140625,226.7899932861328,225.1681365966797,1512500
2021-07-20,226.9499969482422,230.32000732421875,226.77999877929688,228.7899932861328,227.15383911132812,1206400
2021-07-21,229.60000610351562,236.3699951171875,229.60000610351562,230.05999755859375,228.41476440429688,2669800
2021-07-22,230.10000610351562,233.61000061035156,230.10000610351562,232.50999450683594,230.8472442626953,1724100
2021-07-23,233.3800048828125,234.08999633789062,232.2899932861328,232.47999572753906,230.8174591064453,897200
2021-07-26,246.07000732421875,257.2300109863281,245.5,251.55999755859375,249.76100158691406,12773700
2021-07-27,250.86000061035156,260.1700134277344,250.22999572753906,259.5799865722656,257.7236633300781,7212900
2021-07-28,261.0,265.20001220703125,257.8599853515625,262.2900085449219,260.41424560546875,6286300
2021-07-29,264.0,265.1000061035156,262.17999267578125,263.7699890136719,261.8836669921875,4679500
2021-07-30,262.3900146484375,264.989990234375,257.4800109863281,260.0299987792969,258.6705627441406,3738000
2021-08-02,261.9200134277344,262.57000732421875,259.32000732421875,259.94000244140625,258.5810546875,1608900
2021-08-03,260.75,267.3399963378906,260.04998779296875,264.05999755859375,262.67950439453125,3144200
2021-08-04,262.8900146484375,264.6700134277344,259.25,259.4100036621094,258.0538330078125,2895500
2021-08-05,260.5400085449219,262.3999938964844,259.260009765625,262.3999938964844,261.0281982421875,2883900
2021-08-06,263.54998779296875,263.70001220703125,260.6099853515625,261.5199890136719,260.15277099609375,2009000
2021-08-09,261.2099914550781,264.2699890136719,260.5199890136719,263.8399963378906,262.4606628417969,1447500
2021-08-10,265.0,268.489990234375,264.510009765625,267.3599853515625,265.9622497558594,1527300
2021-08-11,268.1099853515625,273.3800048828125,268.1099853515625,273.1700134277344,271.74188232421875,1537400
2021-08-12,272.7799987792969,275.4200134277344,271.70001220703125,275.0,273.56231689453125,1712400
2021-08-13,275.9700012207031,277.8599853515625,275.30999755859375,277.239990234375,275.79058837890625,1618100
2021-08-16,276.9700012207031,279.760009765625,276.3299865722656,279.6700134277344,278.2079162597656,1538000
2021-08-17,278.9200134277344,281.07000732421875,278.4100036621094,280.79998779296875,279.3320007324219,1758200
2021-08-18,280.45001220703125,280.8699951171875,276.6099853515625,276.6700134277344,275.2236022949219,1406200
2021-08-19,274.8399963378906,277.7799987792969,274.760009765625,276.07000732421875,274.6267395019531,1392000
2021-08-20,276.5400085449219,281.1099853515625,275.6600036621094,279.3699951171875,277.90948486328125,2187500
2021-08-23,280.6400146484375,282.2900085449219,278.3599853515625,278.510009765625,277.053955078125,1670300
2021-08-24,278.19000244140625,281.70001220703125,277.8399963378906,279.489990234375,278.0288391113281,1159700
2021-08-25,279.1099853515625,282.5799865722656,278.17999267578125,280.9700012207031,279.5010986328125,1540300
2021-08-26,282.1400146484375,283.0199890136719,279.7699890136719,281.1000061035156,279.63043212890625,1361900
2021-08-27,281.7300109863281,285.7900085449219,281.30999755859375,285.1300048828125,283.6393737792969,1391600
2021-08-30,285.5799865722656,288.1499938964844,285.010009765625,285.3399963378906,283.8482666015625,1306400
2021-08-31,284.9800109863281,288.4200134277344,283.3900146484375,286.8599853515625,285.36029052734375,1554100
2021-09-01,285.9100036621094,289.2200012207031,283.6700134277344,288.3900146484375,286.88232421875,1164900
2021-09-02,289.92999267578125,290.5799865722656,287.6600036621094,290.57000732421875,289.0509338378906,1949800
2021-09-03,290.1300048828125,292.1600036621094,289.5,291.42999267578125,289.9064025878906,990400
2021-09-07,290.3699951171875,290.8699951171875,286.95001220703125,287.9800109863281,286.4744567871094,970400
2021-09-08,287.8599853515625,288.94000244140625,286.5400085449219,288.1400146484375,286.6336669921875,1276000
2021-09-09,289.04998779296875,294.4599914550781,289.04998779296875,292.3800048828125,290.8514709472656,1495000
2021-09-10,292.69000244140625,294.05999755859375,290.5899963378906,292.29998779296875,290.7718505859375,988100
2021-09-13,295.0,295.2300109863281,290.79998779296875,292.54998779296875,291.02056884765625,1076900
2021-09-14,293.3299865722656,293.510009765625,290.0199890136719,291.69000244140625,290.1650695800781,1358800
2021-09-15,292.4100036621094,295.0799865722656,289.70001220703125,293.6600036621094,292.124755859375,1722800
2021-09-16,293.2099914550781,294.2799987792969,290.7200012207031,292.1300048828125,290.602783203125,815400
2021-09-17,289.5899963378906,292.8800048828125,288.8699951171875,289.2300109863281,287.7179260253906,1683300
